date,mse,std,corr,max_power,weather,cond
20180219,0.009239518,0.00686557,-0.023832277,9.142857143,1,0
20180220,0.002882879,0.001702088,0.929966183,147.7142857,1,0
20180221,0.007868827,0.005026909,0.848986706,156.8571429,0,0
20180222,0.002791147,0.003269874,0.927231168,38.28571429,2,0
20180223,0.00855741,0.003293999,0.732843998,7.285714286,1,0
20180224,0.000807804,0.000441297,0.984065942,62.71428571,2,1
20180225,0.001411866,0.00049138,0.921108421,20.85714286,2,0
20180226,0.004712651,0.003226661,0.855180255,199,4,0
20180227,0.003074475,0.000708959,0.905517806,194.8571429,2,0
20180228,0.004984103,0.001961157,0.893222086,189.4285714,0,0
20180301,0.001232843,0.00032618,0.990761907,143.7142857,0,1
20180303,0.021851218,0.016122986,-0.347122904,3,1,0
20180304,0.011775604,0.005700669,0.704426271,6.571428571,2,0
20180305,0.014493371,0.010915697,0.618031133,3.142857143,4,0
20180306,0.006940983,0.001627563,0.771309835,15.57142857,5,0
20180307,0.045226561,0.067620879,,1.428571429,2,0
20180319,0.046800374,0.114637037,,0.142857143,0,0
20180322,0.031780332,0.027331123,0.051610612,2,2,0
20180323,0.013249067,0.003656004,0.178968777,5.285714286,2,0
20180324,0.009621829,0.00318029,0.728739211,12.28571429,2,0
20180325,0.004539739,0.001694993,0.633033588,70.14285714,2,0
20180326,0.002307407,0.001122099,0.5193683,165.8571429,2,0
20180327,0.003083217,0.005638634,0.684347401,159.2857143,2,0
20180328,0.001654438,0.001718976,0.971688421,145.7142857,1,1
20180329,0.000359897,6.55E-05,0.992489279,65.42857143,1,1
20180330,0.000585059,0.00031669,0.984945526,52.42857143,4,1
20180331,0.001251143,0.000932829,0.964819153,243.4285714,0,1
20180401,0.002271172,0.001523829,0.952288217,259.4285714,3,1
20180402,0.001767992,0.000606718,0.925659701,246.1428571,2,0
20180403,0.000393815,0.000118971,0.992626232,131.5714286,1,1
20180404,0.001509054,0.000928709,0.880751425,159.5714286,4,0
20180405,0.001154718,0.000529545,0.975322335,279.5714286,0,1
20180406,0.0015067,0.00141017,0.957877191,98.42857143,2,1
20180407,0.001263708,0.00019872,0.972234995,162.2857143,2,1
20180408,0.001532452,0.000654696,0.971435636,188.4285714,2,1
20180409,0.00072656,0.000342624,0.984302928,260.7142857,2,1
20180410,0.002829666,0.000998325,0.953787231,172,5,1
20180411,0.001749838,0.000430293,0.990089288,253.7142857,3,1
20180412,0.000824784,0.000527666,0.984897446,155.2857143,1,1
20180413,0.002660708,0.000588868,0.946074268,232.2857143,0,0
20180414,0.002363577,0.000761882,0.959900186,260.1428571,5,1
20180415,0.000494169,0.000350819,0.986372608,37.14285714,1,1
20180416,0.001259786,0.000647772,0.847513653,96,1,0
20180417,0.003410758,0.001785912,0.854674568,203.1428571,3,0
20180418,0.001038928,0.001083348,0.935827606,159.2857143,3,1
20180419,0.00079851,0.000365811,0.967740331,126.1428571,2,1
20180420,0.000613383,0.000364425,0.949313495,249.8571429,2,1
20180421,0.001281321,0.000465348,0.959397441,265.5714286,2,1
20180422,0.001150825,0.000512918,0.962461452,265.1428571,0,1
20180423,0.001681807,0.000624363,0.945214019,265.2857143,0,0
20180424,0.000834455,0.000575263,0.992897409,257.1428571,0,1
20180425,0.000988058,0.000878169,0.962169188,42,1,1
20180426,0.000533852,0.000200164,0.980484983,284.7142857,4,1
20180427,0.00107696,0.000200282,0.977751063,91.57142857,4,1
20180428,0.002909677,0.00288585,0.9,243.4285714,4,0
20180429,0.000870378,0.000211608,0.936866467,102,1,1
20180430,0.000537442,0.000165177,0.989641177,79.42857143,1,1
20180502,0.000862743,0.000289112,0.993568321,254.8571429,0,1
20180503,0.003103873,0.001304792,0.893099502,162.7142857,1,0
20180504,0.002121762,0.00072664,0.971012928,222.2857143,1,1
20180505,0.001229201,0.000347124,0.943832669,257,0,0
20180506,0.000947934,0.000204264,0.963909261,47,1,1
20180507,0.000944395,0.000277779,0.976664118,202.4285714,1,1
20180508,0.002331081,0.000838344,0.905209058,283.4285714,4,0
20180509,0.001831942,0.001206244,0.979489313,270.7142857,4,1
20180510,0.002690129,0.001071269,0.930843834,220.4285714,4,0
20180511,0.000812446,0.000421112,0.983751259,270.5714286,0,1
20180512,0.000369377,0.000106377,0.991809336,77,4,1
20180513,0.00147423,0.001166867,0.930661303,272.1428571,4,1
20180514,0.0015974,0.000787135,0.921160912,254.2857143,0,1
20180515,0.000800844,0.000246694,0.98355827,237,1,1
20180516,0.000798077,0.000237028,0.983153823,217.7142857,3,1
20180517,0.001184568,0.000262855,0.988596985,238.5714286,5,1
20180518,0.002374026,0.001738051,0.936980398,262.2857143,0,1
