power_1,power_2
33.17,34.95
33.17,35.03
33.04,34.5
33.17,34.5
33.04,34.56
33.15,34.629999999999995
33.31,34.239999999999995
0.52,34.239999999999995
0.39,34.239999999999995
0.39,33.849999999999994
0.39,37.64
0.39,33.980000000000004
0.25,34.11
0.51,33.72
0.51,34.11
0.25,33.980000000000004
0.38,33.849999999999994
0.38,33.06
0.51,36.599999999999994
0.51,33.459999999999994
0.38,33.06
0.38,33.19
0.51,33.59
0.25,32.8
0.38,35.290000000000006
0.38,32.099999999999994
0.38,32.099999999999994
0.12,32.8
0.51,32.75
0.38,32.36
0.51,32.879999999999995
0.38,31.959999999999994
0.38,31.959999999999994
0.38,31.569999999999993
0.51,31.83
0.25,32.099999999999994
0.38,31.569999999999993
0.38,31.83
0.38,31.959999999999994
0.38,31.569999999999993
0.25,31.0
0.51,31.959999999999994
0.38,31.129999999999995
0.51,31.049999999999997
0.38,31.569999999999993
0.51,31.260000000000005
0.51,32.099999999999994
0.25,31.519999999999996
0.51,31.569999999999993
0.51,31.310000000000002
0.25,30.739999999999995
0.38,31.39
0.51,30.870000000000005
0.51,30.790000000000006
0.38,30.61
0.38,30.61
0.38,29.819999999999993
0.25,30.61
0.38,29.299999999999997
0.38,29.299999999999997
0.38,30.92
0.51,33.269999999999996
0.38,30.61
0.38,29.950000000000003
0.51,29.950000000000003
0.38,29.819999999999993
0.51,29.689999999999998
25.03,29.64
25.31,29.430000000000007
25.96,29.430000000000007
25.98,29.379999999999995
26.38,29.560000000000002
26.12,29.950000000000003
26.51,29.040000000000006
26.66,29.120000000000005
26.66,29.430000000000007
26.66,29.379999999999995
26.68,29.510000000000005
26.68,30.209999999999994
26.94,29.64
27.2,29.17
27.22,29.819999999999993
27.09,29.819999999999993
27.35,29.819999999999993
27.2,29.900000000000006
27.31,29.299999999999997
27.22,29.17
27.48,29.25
27.35,30.08
27.61,29.64
27.61,29.819999999999993
27.51,29.689999999999998
27.64,29.120000000000005
27.51,29.560000000000002
27.51,29.510000000000005
27.64,28.990000000000002
27.77,29.299999999999997
27.51,28.990000000000002
27.53,29.25
27.92,29.299999999999997
27.79,29.25
27.79,29.040000000000006
27.79,28.990000000000002
27.92,28.990000000000002
28.05,28.78
27.92,29.64
28.16,29.950000000000003
27.94,29.430000000000007
27.94,29.120000000000005
27.81,29.510000000000005
28.18,29.950000000000003
28.33,29.769999999999996
28.75,30.03
28.86,29.560000000000002
29.01,29.950000000000003
29.03,30.08
29.14,30.349999999999994
28.88,30.349999999999994
29.14,32.959999999999994
29.27,30.61
29.14,29.819999999999993
29.14,30.480000000000004
29.27,30.159999999999997
29.41,30.08
29.65,27.03
29.41,30.430000000000007
29.43,30.209999999999994
0.39,30.209999999999994
0.26,30.349999999999994
0.51,30.61
0.25,30.61
0.38,30.349999999999994
0.38,30.480000000000004
0.38,30.08
0.51,30.08
0.38,29.510000000000005
0.0,29.689999999999998
0.0,29.430000000000007
0.0,30.03
0.0,30.739999999999995
0.0,30.480000000000004
0.0,30.08
0.0,30.08
0.0,30.03
0.0,30.480000000000004
0.0,30.739999999999995
0.0,30.209999999999994
0.25,31.180000000000007
0.38,28.380000000000003
0.51,32.150000000000006
0.25,29.739999999999995
0.51,28.25
0.38,29.22
0.38,29.349999999999994
0.38,28.689999999999998
0.25,28.43
0.51,28.25
0.38,28.119999999999997
0.25,28.43
0.25,28.560000000000002
0.38,28.689999999999998
0.38,32.230000000000004
0.38,29.040000000000006
0.38,29.299999999999997
0.25,29.349999999999994
0.51,29.040000000000006
