,28563595,28563594,28563596,28563622,28563597,28563606,28563604,28563602,28563603
201909030939,,,,,,,,,
201909030940,,,,,,,,,
201909030941,,,,,,,,,
201909030942,169.80599999999998,172.315,173.90599999999998,,175.64700000000002,168.169,171.095,171.868,170.926
201909030943,,,,169.53799999999998,,,,,
201909030944,,,,,,,,,
201909030945,,,,,,,,,
201909030946,,,,,,,,,
201909030947,,,,,,,,,
201909030948,,,,,,,,,
201909030949,,,,,,,,,
201909030950,,,,,,,,,
201909030951,,,,,,,,,
201909030952,,,,,,,,,
201909030953,,,,,,,,,
201909030954,,,,,,,,,
201909030955,,,,,,,,,
201909030956,,,,,,,,,
201909030957,124.4,124.65799999999999,126.72,,127.777,125.01100000000001,126.18,126.67399999999999,125.086
201909030958,,,,127.79899999999999,,,,,
201909030959,,,,,,,,,
201909031000,,,,,,,,,
201909031001,,,,,,,,,
201909031002,,,,,,,,,
201909031003,,,,,,,,,
201909031004,,,,,,,,,
201909031005,,,,,,,,,
201909031006,,,,,,,,,
201909031007,,,,,,,,,
201909031008,,,,,,,,,
201909031009,,,,,,,,,
201909031010,,,,,,,,,
201909031011,,,,,,,,,
201909031012,100.594,100.868,102.727,,103.39299999999999,100.963,102.21,102.324,101.417
201909031013,,,,103.507,,,,,
201909031014,,,,,,,,,
201909031015,,,,,,,,,
201909031016,,,,,,,,,
201909031017,,,,,,,,,
201909031018,,,,,,,,,
201909031019,,,,,,,,,
201909031020,,,,,,,,,
201909031021,,,,,,,,,
201909031022,,,,,,,,,
201909031023,,,,,,,,,
201909031024,,,,,,,,,
201909031025,,,,,,,,,
201909031026,,,,,,,,,
201909031027,191.322,194.173,195.577,,196.648,190.99,194.40200000000002,194.49400000000003,193.078
201909031028,,,,196.00599999999997,,,,,
201909031029,,,,,,,,,
201909031030,,,,,,,,,
201909031031,,,,,,,,,
201909031032,,,,,,,,,
201909031033,,,,,,,,,
201909031034,,,,,,,,,
201909031035,,,,,,,,,
201909031036,,,,,,,,,
201909031037,,,,,,,,,
201909031038,,,,,,,,,
201909031039,,,,,,,,,
201909031040,,,,,,,,,
201909031041,,,,,,,,,
201909031042,191.593,193.692,196.02,,196.202,194.185,196.00400000000002,195.821,194.455
201909031043,,,,201.185,,,,,
201909031044,,,,,,,,,
