contact_1,contact_2,open_1,open_2
0.25,63.43,0,11.53
0.51,63.25,0,11.65
0.38,63.12,0,11.78
0.25,63.43,0,12.26
0.25,63.56,0,12.89
0.38,63.69,0,13.14
0.38,67.23,0,13.02
0.38,64.04,0,13.02
0.38,64.3,0,13.02
0.25,64.35,0,13.52
0.51,64.04,0,13.89
0.38,64.35,0,14.27
0.38,61.03,0,14.51
0.38,63.52,0,14.27
0.38,63.25,0,13.65
0.38,63.65,0,13.03
0.38,63.78,0,12.89
0.38,62.73,0,13.4
0.51,63.52,0,13.52
0.51,62.99,0,13.4
0.51,64.04,0,12.53
0.38,64.35,0,11.53
0.38,62.08,0,10.77
0.38,63.17,0,10.28
0.38,63.91,0,10.4
0.25,64.43,0,10.78
0.38,63.52,0,11.03
0.38,64.17,0,11.03
20.97,63.65,0,10.78
20.83,63.78,0,10.53
20.83,62.78,0,10.53
20.83,63.52,0,10.53
20.7,62.47,1.53,9.91
20.84,63.38,3.7,8.79
20.84,63.17,7.29,7.42
20.96,63.96,15.25,6.43
21.1,64.04,26.76,5.93
21.23,62.86,20.94,5.81
20.99,63.52,17.81,6.06
21.1,62.99,16.8,6.68
21.12,63.78,16.93,7.42
21.12,63.38,17.06,8.3
21.27,63.12,18.36,9.03
21.38,62.6,17.71,8.54
21.38,64.04,14.99,7.54
21.38,63.65,12.29,6.43
21.51,62.99,9.72,5.93
21.53,62.86,8.31,5.56
21.53,63.12,7.29,5.31
21.4,63.78,6.51,5.19
21.4,64.04,6.13,5.19
21.53,62.6,5.87,5.19
21.53,59.42,5.62,5.07
21.27,62.6,5.36,5.19
21.4,62.6,5.23,5.07
21.36,63.52,4.98,5.06
21.67,63.52,4.72,5.07
21.66,62.6,4.72,5.19
21.9,65.53,4.46,5.56
21.66,63.78,4.59,5.81
22.07,62.73,4.72,6.3
21.94,63.65,5.49,7.05
21.94,62.73,6.76,8.29
21.95,63.52,8.69,9.78
21.94,66.88,11.26,11.26
21.94,63.43,13.83,11.89
21.82,62.73,16.02,11.89
21.54,62.6,17.83,11.64
21.95,62.86,19.64,11.39
21.95,63.12,22.37,11.39
22.21,63.12,26.66,11.53
22.08,62.86,33.46,11.77
22.21,63.25,45.04,12.15
22.21,63.12,61.55,12.15
22.08,63.91,60.9,11.64
22.23,63.65,58.16,11.27
22.08,62.73,55.85,11.02
22.08,64.04,54.89,10.77
22.21,63.91,53.8,10.65
22.08,62.86,53.02,10.4
22.34,63.12,51.28,10.15
21.95,62.99,51.28,10.4
22.08,62.6,52.63,10.9
22.23,64.04,54.28,11.27
22.36,62.73,56.54,11.28
22.23,64.17,56.67,11.16
22.21,64.3,56.15,11.15
22.23,64.56,55.63,11.27
0.38,64.04,56.46,11.65
0.25,64.43,59.34,12.15
0.38,60.77,61.84,12.64
0.38,64.3,64.08,13.03
0.38,64.82,0,13.27
0.38,63.91,0,13.52
0.25,65.53,0,13.76
0.38,64.35,0,13.89
0.38,64.35,0,13.65
0.38,64.61,0,13.39
0.38,65.35,0,13.4
0.38,64.87,0,13.4
0.51,64.74,0,13.4
0.51,64.48,0,13.03
0.38,65.53,0,12.78
0.38,65.66,0,12.65
0.38,65.13,0,12.65
0.38,64.35,0,12.9
0.38,66.18,0,13.03
0.38,63.65,0,13.03
0.38,64.35,0,12.78
0.38,65.66,0,12.03
0.51,65,0,11.03
0.38,65.4,0,9.92
0.38,64.66,0,9.42
0.38,65.45,0,9.67
0.38,65.4,0,10.54
0.38,64.74,0,11.28
0.25,64.79,0,12.16
0.51,66.05,0,13.15
0.51,61.69,0,13.78
0.25,65,0,14.02
0.38,65.13,0,14.28
0.38,64.87,0,14.53
0.38,64.09,0,14.4
0.25,63.25,0,14.9
0.38,64.09,0,15.15
0.51,64.27,0,15.27
0.38,64.35,0,15.4
0.25,65.13,0,15.41
0.38,64.87,0,15.4
0.38,64.09,0,15.4
0.38,64.22,0,14.9
0.25,63.43,0,14.79
0.25,63.83,0,14.65
0.38,64.43,0,14.53
0.38,63.83,0,14.53
0.51,63.38,0,14.53
0.38,63.12,0,14.4
0.51,63.78,0,14.4
0.38,64.09,0,14.4
0.38,63.04,0,14.4
0.38,64.04,0,14.54
0.51,64.22,0,14.53
0.25,64.04,0,14.53
0.51,63.69,0,14.65
0.51,63.17,0,14.54
0.51,64.04,0,14.4
0.51,63.43,0,14.29
0.38,63.96,0,14.15
20.28,64.48,0,14.15
20.15,64.09,0,14.03
20.29,63.3,0,14.03
20.16,63.69,0,14.03
20.29,64.43,1.27,14.04
20.16,63.56,3.84,14.28
20.18,63.65,7.82,14.66
20.18,64.56,32.79,14.79
20.44,63.96,73.94,14.66
20.18,64.35,62.91,14.9
20.05,63.56,53.37,15.04
20.18,62.08,47,15.02
20.31,65,42.25,15.16
20.32,65,38.29,15.28
20.18,65.18,35.14,15.28
20.05,65.53,32.27,15.41
20.19,65.31,30.02,15.41
20.32,64.35,28.07,15.55
20.45,64.35,26.37,15.55
20.45,65.13,24.93,15.53
20.19,64.87,23.36,15.79
20.21,64.87,22.33,15.79
20.34,63.96,21.43,16.03
20.47,61.16,20.64,16.17
20.32,64.01,19.73,16.17
20.47,63.83,19.07,16.17
20.6,64.04,18.3,16.17
20.47,63.83,17.53,16.17
20.47,64.35,16.87,16.29
20.47,65.4,16.22,16.17
20.47,64.22,15.58,16.17
20.6,64.09,15.06,16.17
20.84,64.09,14.94,16.17
20.86,64.74,15.97,16.04
20.86,63.87,17.25,15.92
20.88,64.61,18.57,15.79
20.61,64.74,20.25,15.79
20.88,63.83,22.46,15.92
21.01,64.61,25.32,15.79
21.27,64.22,28.46,15.92
21.01,65.13,33.07,15.92
