water_1,water_2,dust_1,dust_2
,,10.77,8.43
,,10.77,8.43
,,10.65,8.56
,,10.64,8.43
,,10.65,8.43
,,10.76,8.43
,,10.64,8.43
,,10.65,8.43
,,10.64,8.3
,,10.65,8.3
,,10.65,8.3
,,10.65,8.3
,,10.76,8.3
,,10.77,8.43
,,10.89,8.56
,,10.9,8.56
,,11.02,8.56
,,11.02,8.56
,,11.02,8.56
,,11.15,8.68
,,11.01,8.68
,,11.02,8.56
,,11.01,8.56
,,11.02,8.56
,,11.02,8.56
,,10.77,8.43
,,10.9,8.43
,,10.76,8.43
,,10.89,8.43
,,11.01,8.43
,,11.01,8.56
,,11.15,8.56
,,11.15,8.56
,,11.27,8.69
,,11.27,8.68
,,11.4,8.68
,,11.27,8.69
,,11.26,8.69
,,11.27,8.68
,,11.26,8.56
,,11.14,8.56
,,11.27,8.56
,,11.27,8.56
,,11.4,8.68
,,11.4,8.68
,,11.41,8.68
,,11.52,8.68
,,11.39,8.69
,,11.52,8.69
,,11.4,8.68
,,11.52,8.68
,,11.52,8.68
,,11.66,8.82
,,11.65,8.68
,,11.65,8.81
,,11.65,8.82
,,11.52,8.68
,,11.52,8.56
,,11.52,8.56
,,11.66,8.56
,,11.65,8.68
,,11.77,8.68
,,11.64,8.68
,,11.65,8.56
,,11.77,8.56
,,11.77,8.56
,,11.77,8.56
,,11.78,8.56
,,11.77,8.56
,,11.9,8.68
,,11.9,8.68
,,11.9,8.56
,,11.9,8.56
,,11.9,8.56
,,11.9,8.43
,,11.9,8.56
,,11.9,8.56
,,11.9,8.56
,,12.02,8.56
,,11.9,8.56
,,11.91,8.56
,,11.9,8.56
,,11.91,8.56
,,11.9,8.56
,,12.02,8.56
,,12.02,8.56
,,11.91,8.56
,,12.03,8.56
,,12.15,8.43
,,12.03,8.56
,,12.02,8.56
,,12.03,8.43
,,11.9,8.43
,,12.03,8.56
,,11.9,8.43
,,12.03,8.43
,,11.9,8.3
,,11.91,8.3
,,11.9,8.3
,,11.65,8.29
,,11.77,8.3
,,11.77,8.3
,,11.66,8.3
,,11.77,8.17
,,11.65,8.3
,,11.77,8.17
,,11.65,8.3
,,11.9,8.3
,,11.77,8.3
,,11.91,8.3
,,11.9,8.43
,,11.9,8.43
,,11.9,8.43
,,11.9,8.43
,,11.9,8.43
,,11.9,8.3
,,11.9,8.3
,,11.91,8.3
,,11.91,8.43
,,11.9,8.3
,,11.78,8.3
,,11.9,8.3
,,11.78,8.3
,,11.91,8.43
,,11.91,8.3
,,11.77,8.17
,,11.77,8.17
,,11.77,8.17
,,11.53,8.04
,,11.52,8.03
,,11.4,8.03
,,11.52,8.03
,,11.4,7.9
,,11.27,7.9
,,11.27,7.78
,,11.15,7.65
,,11.15,7.77
,,11.28,7.77
,,11.27,7.77
,,11.27,7.9
,,11.27,7.91
,,11.27,7.78
,,11.15,7.77
,,11.27,7.78
,,11.27,7.78
,,11.28,7.77
,,11.15,7.64
,,11.27,7.78
,,11.28,7.77
,,11.16,7.77
,,11.27,7.64
,,11.02,7.64
,,11.02,7.65
,,11.02,7.51
,,10.77,7.51
,,10.9,7.51
,,10.9,7.51
,,11.02,7.51
,,10.9,7.51
,,10.9,7.64
,,11.02,7.64
,,10.9,7.51
,,10.9,7.38
,,10.77,7.38
,,10.9,7.38
,,10.77,7.38
,,10.65,7.38
,,10.77,7.38
,,10.77,7.38
,,10.65,7.39
,,10.65,7.38
,,10.77,7.38
,,10.52,7.38
,,10.39,7.25
,,10.39,7.25
,,10.52,7.25
,,10.51,7.38
,,10.65,7.38
,,10.65,7.38
,,10.64,7.51
,,10.65,7.51
,,10.65,7.38
,,10.51,7.38
,,10.52,7.38
,,10.52,7.38
,,10.52,7.38
,,10.39,7.38
,,10.52,7.51
,,10.52,7.38
,,10.52,7.38
,,10.52,7.38
,,10.39,7.38
,,10.52,7.51
,,10.52,7.51
,,10.51,7.51
,,10.51,7.51
,,10.51,7.51
,,10.65,7.64
,,10.65,7.64
,,10.65,7.77
,,10.77,7.77
,,10.65,7.77
,,10.77,7.9
,,10.77,7.9
,,10.9,8.02
,,10.9,8.03
,,10.9,8.03
,,10.9,8.03
,,10.9,7.89
,,10.77,8.03
,,10.77,7.9
,,10.77,8.02
,,10.77,7.9
,,10.77,7.9
,,10.77,7.89
,,10.77,7.9
,,10.65,7.77
,,10.65,7.77
,,10.52,7.64
,,10.65,7.64
,,10.52,7.64
,,10.65,7.64
,,10.64,7.64
,,10.77,7.64
,,10.65,7.77
,,10.77,7.64
,,10.76,7.64
,,10.9,7.64
,,10.65,7.64
,,10.89,7.77
,,10.77,7.77
,,10.77,7.64
,,10.77,7.64
,,10.9,7.77
,,10.9,7.77
,,10.89,7.77
,,10.9,7.64
,,10.9,7.64
,,10.9,7.64
,,10.9,7.64
,,11.02,7.64
,,11.02,7.64
,,10.9,7.64
,,11.15,7.77
,,11.02,7.64
,,11.02,7.64
,,11.15,7.77
,,11.15,7.77
,,11.27,7.77
,,11.27,7.77
,,11.27,7.77
,,11.27,7.77
,,11.27,7.89
,,11.52,7.9
,,11.4,7.9
,,11.4,7.9
,,11.4,7.9
,,11.52,7.9
,,11.52,7.9
,,11.52,7.9
,,11.52,7.89
,,11.52,8.03
,,11.65,7.77
,,11.65,7.9
,,11.52,7.77
,,11.65,7.77
,,11.65,7.77
,,11.52,7.77
,,11.65,7.9
,,11.65,7.9
,,11.65,7.77
,,11.52,7.64
,,11.4,7.64
,,11.27,7.64
,,11.16,7.51
,,11.15,7.51
,,11.27,7.38
,,11.15,7.51
,,11.15,7.38
,,11.15,7.51
,,11.15,7.51
,,11.15,7.38
,,11.15,7.51
,,11.15,7.51
,,11.02,7.38
,,11.02,7.38
,,11.02,7.38
,,10.77,7.38
,,10.9,7.25
,,11.02,7.25
,,10.9,7.25
,,10.76,7.25
,,10.9,7.25
,,10.9,7.25
,,10.9,7.25
,,10.9,7.25
,,10.9,7.25
,,10.9,7.38
,,10.9,7.25
,,10.9,7.25
,,11.02,7.38
,,11.16,7.51
,,11.02,7.38
,,11.02,7.38
,,11.15,7.51
,,11.02,7.38
,,11.02,7.38
,,11.02,7.51
,,11.02,7.51
,,11.02,7.38
,,10.9,7.38
,,11.02,7.38
,,11.02,7.38
